"Table S1 Complete dataset used from train and validated machine learning methods, which are collected from literature data. ",,,,,,,,,,,,,,,,
Citation,Sample Name,Tectonic Setting,,Latitude ,Longitude ,Rock Name,Rock Type,P,Ti,Y,Nb,Dy,Yb,U,Hf,Th
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,204.47,11.85094721,729.7893472,16.66037758,80.25978669,202.4629538,107.05,10006,49.96
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,407.45,6.893668085,1482.535304,16.797771,162.0074164,410.8990949,270.53,12224,142.89
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,346,8.7,1063,20,105,317,257,11500,145
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,308,6.7,2254,13,247,568,328,11523,216
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,381,6.9,2990,21,308,725,545,10608,342
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,292,11.8,1032,15,113,280,168,9599,98
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,205,10.9,1607,8,197,392,105,8675,72
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,251,9.8,2125,11,248,507,186,9500,124
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,239,9.4,828,13,94,237,134,10122,73
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,229,9.9,833,13,94,233,125,9567,65
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,666,12.2,2513,29,253,694,480,10899,438
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,275,8.8,1038,19,105,275,156,10189,86
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,549,9,2076,35,210,561,462,11275,314
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,236,9.5,895,14,99,240,137,9550,75
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,440,8.6,1758,28,186,492,432,10797,278
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,237,9.6,1935,10,227,450,165,10036,112
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,331,6.8,2353,14,248,607,403,11293,261
